player,position,age,goals,apps,height
Lee James Stephen Hodson,Defender,26,3,181,1.73
Sergi Enrich,Forward,28,74,253,1.81
Cesc Fàbregas,Midfielder,30,78,410,1.75
Charles Graham Adam,Midfielder,32,71,366,1.85
Franck Kessié,Midfielder,21,8,51,1.83
Nathan Blissett,Forward,27,44,263,1.9304
Terrence Anthony Boyd,Forward,27,70,164,1.88
Amari'i Bell,Left back,23,2,97,1.8034
Molla Wague,Defender,27,7,94,1.91
Henri George Lansbury,Midfielder,27,50,267,1.83
Eduardo Sasha,Midfielder,26,14,73,1.73
Nabil El Zhar,Midfielder,31,16,189,1.7
Willian José da Silva,Forward,26,43,175,1.86
Jose Baxter,Midfielder,26,44,174,1.8034
Elseid Hysaj,Defender,24,1,177,1.82
Idrissa Sylla,Striker,27,52,189,1.87
Luke David Ayling,Defender,26,6,256,1.85
Gabriel Antoine Obertan,Midfielder,29,12,178,1.8542
Enner Valencia,Winger,28,71,242,1.74
Nicolò Barella,Midfielder,21,0,43,1.72
Paul Gallacher,Goalkeeper,38,0,414,1.8288
Hans Hateboer,Full back,24,2,79,1.85
Josh Murphy,Winger,23,8,88,1.73
William Richard Hoskins,Forward,31,53,235,1.7526
DeAndre Yedlin,Midfielder,24,3,148,1.73
Charlie Wyke,Forward,25,31,128,0
Jeremy Toljan,Defender,23,1,47,1.82
Leon Bailey,Midfielder,20,9,46,1.81
Mark Uth,Striker,26,50,132,1.85
Jason Denayer,Defender,22,6,67,1.84
Hakim Ziyech,Midfielder,24,49,124,1.8
Kyle Bartley,Defender,26,6,113,1.9304
Jak Alnwick,Goalkeeper,24,0,73,1.88
José Ernesto Sosa,Midfielder,32,48,388,1.83
Theo Bernard François Hernández,Defender,20,1,25,1.85
Sotiris Ninis,Midfielder,27,19,216,1.73
Nélson Cabral Semedo,Right back,24,11,135,1.77
Kasper Dolberg Rasmussen,Forward,20,12,33,1.86
Jordon Mutch,Midfielder,26,16,169,1.84
Florin Andone,Forward,24,52,160,1.82
Ryan Sessegnon,Defender,17,4,19,0
Matz Sels,Goalkeeper,26,0,138,1.88
Jordy Gaspar,Defender,20,0,28,1.72
Rodolfo Paolo Suárez Díaz,Striker,37,119,298,1.74
Bruno da Silva Peres,Defender,28,12,175,1.75
Wylan Cyprien,Midfielder,23,12,123,1.81
Luke Anthony Freeman,Forward,25,31,237,1.7526
Yannick Bolasie,Midfielder,28,36,321,1.8542
Adamo Coulibaly,Forward,36,96,263,1.87
Andrea Belotti,Forward,24,62,172,1.81
Joshua Dean Windass,Midfielder,24,21,78,1.75
Danilo Luís Hélio Pereira,Midfielder,26,17,175,1.88
Philip Nikodem Jagielka,Centre-back,35,33,570,1.83
Bernardo Mota Veiga de Carvalho e Silva,Midfielder,23,33,146,1.73
Ashley Michael Fletcher,Forward,22,7,29,0
Henry Onyekuru,Forward,20,9,26,0
Brad Potts,Midfielder,24,15,149,1.8288
Douglas James Loft,Defender,31,25,289,1.8288
Rafik Zekhnini,Forward,20,6,48,1.79
Joshua Kimmich,Midfielder,23,8,98,1.76
Isaac Success,Forward,22,26,82,1.82
Ethan Horvath,Goalkeeper,22,0,47,1.94
Serge Gakpé,Forward,30,56,330,1.76
Douglas Santos,Defender,23,7,152,1.73
Álvaro Arbeloa,Defender,35,5,348,1.84
Oliver Burke,Midfielder,20,8,42,1.88
William David Keane,Forward,25,11,78,1.8796
Oliver George Arthur Watkins,Forward,22,18,47,1.8
David Stockdale,Goalkeeper,32,0,300,1.905
Talisca,Midfielder,24,18,92,1.9
Borja,Forward,25,98,228,1.91
James Robert Hanson,Forward,30,109,342,1.9304
Modou Barrow,Midfielder,25,42,142,1.76
Gabriel Barbosa,Forward,21,34,106,1.78
Rolf Linus Wahlqvist,Defender,21,6,135,1.83
Filipe Vilaça Oliveira,Midfielder,33,24,244,1.77
Greg Tansey,Midfielder,29,41,292,1.8542
Ezri Konsa,Defender,19,0,7,0
Lyanco Vojnović,Defender,21,1,24,1.88
Josh Doherty,Defender,21,2,15,1.79
Declan Christopher John,Left Wing Back,22,1,71,1.778
Ben Coker,Winger,28,21,250,1.8
Patrik Schick,Forward,22,15,46,1.87
Gavin Jude Gunning,Defender,27,8,158,1.88
Danilo Avelar,Defender,28,6,107,1.85
Nabil Bentaleb,Midfielder,23,3,72,1.87
Milot Rashica,Midfielder,21,19,72,1.78
Hélder Wander Sousa de Azevedo e Costa,Midfielder,24,25,156,1.78
Darren Pratley,Midfielder,32,41,363,1.8288
Jon Flanagan,Full-back,25,1,45,1.81
Darijo Srna,Defender,35,43,389,1.78
Christopher Anthony Willock,Striker,20,3,28,1.78
Hernán Gustavo Grana,Defender,32,4,258,1.7
Rob Holding,Defender,22,1,32,1.89
Lars Hening Joel Ekstrand,Defender,29,5,199,1.88
Conor Hourihane,Midfielder,27,40,237,1.81
Assane Demoya Gnoukouri,Midfielder,21,0,11,1.8
Christian Vieri,Forward,44,230,447,1.85
Ibrahima Cissé,Defender,24,2,104,1.84
Mahmoud Dahoud,Midfielder,22,5,46,1.76
Kevin van Veen,Striker,26,48,107,1.85
Federico Barba,Defender,24,4,80,1.88
Luke Chambers,Defender,32,28,509,1.8542
Dominic Gape,Midfielder,23,1,6,0
Marcos Guilherme,Midfielder,22,13,82,1.72
Dor Peretz,Defensive midfielder,22,3,44,1.85
Grégory Sertić,Defensive Midfielder,28,5,161,1.83
Mariano,Forward,24,49,91,1.78
Gerson Elías Acevedo Rojas,Midfielder,29,27,209,1.82
Jherson Vergara Amú,Defender,23,5,103,1.9
Omer Atzili,Midfielder,24,26,128,1.74
Gianluca Curci,Goalkeeper,32,0,213,1.92
Isaac Scot Hayden,Defensive midfielder,22,3,40,1.87
Edenilson Bergonsi,Midfielder,30,11,110,1.85
Domagoj Vida,Defender,28,21,244,1.84
Luke Varney,Midfielder,35,159,467,1.8
Luca Cigarini,Midfielder,31,20,316,1.75
Kévin Malcuit,Forward,26,6,97,1.82
Hugo Miguel Fernandes Vieira,Defender,41,5,273,1.82
Leon Osman,Midfielder,36,47,388,1.524
Charles James Taylor,Midfielder,24,3,113,1.8542
Miguel Borja,Forward,25,50,142,1.82
Grant Campbell Hanley,Defender,26,10,220,1.91
Federico Chiesa,Forward,20,0,1,1.75
Donald Love,Defender,23,0,19,1.78
Yaw Yeboah,Forward,20,1,10,0
Ozan Tufan,Right winger,22,4,83,1.82
Josh Lelan,Defender,23,0,21,1.85
John Swift,Midfielder,22,12,73,1.82
Lucas Andrés Mugni,Midfielder,26,6,116,1.82
Josip Brekalo,Forward,19,2,21,1.8
Sam Johnstone,Goalkeeper,24,0,102,1.92
Jason Cummings,Forward,22,47,99,1.78
Vincent Thill,Midfielder,18,3,13,0
Thulani Caleb Serero,Defensive Midfielder,27,27,186,1.72
Rhu-endly Aurelio Jean-Carlo Martina,Defender,28,5,212,1.85
Gedion Zelalem,Midfielder,21,0,32,1.8
Rivaldo Vítor Borba Ferreira Júnior,Forward,22,7,28,1.86
Lewis Cook,Midfielder,21,1,99,1.7526
Clinton Mukoni Mata Pedro Lourenço,Midfielder,25,2,94,0
David Sergio Trezeguet,Forward,40,261,516,1.9
Leonardo Bonucci,Defender,30,22,365,1.9
Alfie Robert John Mawson,Centre-back,24,14,115,1.88
José Fonte,Defender,34,24,490,1.87
Ryan Ian Leonard,Defender,25,14,194,1.8542
Yanic Wildschut,Winger,26,22,179,1.87
Cristian Esteban Gamboa Luna,Rightback,28,4,197,1.73
Christian Kabasele,Defender,27,21,154,1.86
Jesús Vallejo Lázaro,Defender,21,3,74,1.83
Connor Joseph Jennings,Forward,26,85,256,1.8288
Ryan Hedges,Forward,22,5,51,0
Florian Jozefzoon,Midfielder,27,15,118,1.73
Sven Schipplock,Forward,29,66,232,1.85
Cristian Pavón,Forward,22,12,61,1.7
Louis Moult,Forward,25,58,176,1.8288
Jonathan Hayes,Midfielder,30,40,267,1.68
Mouez Hassen,Goalkeeper,23,0,54,1.84
Marlos Moreno Durán,Forward,21,7,42,1.71
Lukman Abdulkarim Haruna,Midfielder,27,15,136,1.79
Lucas Ariel Ocampos,Midfielder,23,25,167,1.87
Ezequiel Barco,Midfielder,18,1,1,0
Borja Mayoral,Forward,20,30,66,1.83
Takuma Asano,Forward,23,21,89,1.71
Pau López,Goalkeeper,23,0,76,1.89
Bernd Leno,Goalkeeper,26,0,242,1.9
Omar Bogle,Forward,24,88,172,1.8796
Raphaël Varane,Defender,24,8,138,1.91
Yuto Nagatomo,Defender,31,17,319,1.7
Aarón Martín Caricol,Defender,20,1,36,0
Rhys Healey,Forward,23,21,61,0
Nemanja Gudelj,Midfielder,26,33,209,1.87
Ibrahim Amadou,Midfielder,24,2,86,1.83
Vadim Demidov,Defender,31,8,258,1.85
Davy Roef,Goalkeeper,24,0,26,1.87
Gaku Shibasaki,Midfielder,25,22,192,1.75
Roque Mesa,Midfielder,28,26,278,1.71
Benjamin Jarrod Osborn,Midfielder,23,6,97,0
Stefano Denswil,Defender,24,4,89,1.85
Kevin Kurányi,Forward,36,193,490,1.9
Marcus Rashford,Forward,20,8,22,1.8
Moses Simon,Midfielder,22,28,99,1.68
Jem Karacan,Midfielder,29,14,207,1.778
Lucas Pérez Martínez,Forward,29,91,249,1.81
Darron Thomas Daniel Gibson,Midfielder,30,8,148,1.83
Sergio Rico,Goalkeeper,24,0,97,1.95
Gastón Brugman Duarte,Midfielder,25,8,109,1.76
Conor David Coady,Midfielder,25,8,147,1.8542
Roy Beerens,Midfielder,30,49,293,1.74
Mario Lemina,Midfielder,24,5,98,1.83
Ross Flitney,Goalkeeper,33,0,340,1.905
Wesley Michael Brown,Defender,38,5,339,1.85
Fredua Koranteng Adu,Forward,28,64,251,1.7272
Craig Slater,Midfielder,23,8,103,1.78
Daniele Baselli,Midfielder,26,10,158,1.82
Deni Alar,Striker,28,73,247,1.85
Ederson Santana de Moraes,Goalkeeper,24,0,87,1.87
Kyle Lafferty,Forward,30,65,307,1.9304
Antoni Charles Sarcevic,Midfielder,25,35,203,1.8288
Marc Klok,Midfielder,24,2,65,1.77
Marcos Llorente Moreno,Midfielder,23,3,75,1.8
Marten Elco de Roon,Midfielder,26,17,192,1.85
Sol Bamba,Defender,33,15,294,1.9
Panagiotis Kone,Midfielder,30,27,273,1.82
Pablo Mouche,Forward,30,33,245,1.77
Carlos Carmona,Midfielder,31,17,397,1.78
Luke Wilkshire,Full back,36,39,474,1.76
Barrie McKay,Winger,23,13,128,1.75
Celso Borges Mora,Midfielder,29,88,392,1.84
Ariel Borysiuk,Defensive midfielder,26,7,229,1.78
Andrea Petagna,Forward,22,17,99,1.88
Shane Patrick Long,Forward,31,99,411,1.8
Jorge Gibson Brown,Forward,137,140,224,0
Emil Peter Forsberg,Midfielder,26,58,240,1.79
Kalu Uche,Midfielder,35,109,409,1.79
Davy Pröpper,Midfielder,26,28,189,1.85
Vitor Frezarin Bueno,Midfielder,23,11,32,1.83
Ciaran Clark,Defender,28,9,158,1.8796
Kévin Constant,Defender,30,23,237,1.84
Suleyman Ali Muntari,Midfielder,33,52,407,1.79
Tyler Nathan Blackett,Defender,23,0,33,1.87
Hamit Altıntop,Midfielder,35,35,334,1.83
Lewis Robert Page,Left back,21,0,15,1.78
Dimitar Berbatov,Forward,37,265,577,1.89
Richarlison de Andrade,Forward,20,9,24,1.79
Tom Lawrence,Forward,24,11,91,1.8
Thomas Cairney,Midfielder,27,22,204,1.8288
Aaron Samuel,Striker,23,45,112,1.89
Adam Thomas Chicksen,Defender,26,2,115,1.7272
Efe Ambrose,Defender,29,23,350,1.9
Andrew Halliday,Midfielder,26,25,174,1.81
Alfredo Morelos,Forward,21,24,51,1.8
Christopher John Porter,Forward,34,112,402,1.85
Adam James Armstrong,Forward,21,42,91,1.73
Robbin Ruiter,Goalkeeper,30,0,191,1.96
Domingos Quina,Midfielder,18,8,17,0
Rúben Semedo,Defender,23,3,79,1.89
Jack Hendry,Defender,22,0,19,0
Mikel Merino Zazón,Midfielder,21,9,88,1.88
John George Terry,Centre-back,37,47,580,1.8288
Denis Alibec,Forward,27,48,133,1.87
Yerry Fernando Mina González,Defender,23,14,96,1.95
Oliver Norwood,Midfielder,26,20,226,1.8
Greg Stewart,Forward,27,53,196,1.78
Vinicius Oliveira Franco,Midfielder,31,26,216,1.86
Ante Rukavina,Forward,31,61,274,1.86
Amin Younes,Midfielder,24,21,134,1.68
Joel Untersee,Defender,24,3,87,1.81
Jay-Roy Grot,Striker,19,0,17,0
Yuri Berchiche,Defender,28,8,194,1.81
James Murphy,Midfielder,28,61,328,1.778
Jorge Meré,Defender,20,5,105,1.82
René Adler,Goalkeeper,33,0,294,1.91
Amine Harit,Midfielder,20,1,39,1.79
Harry Nicholas Arter,Midfielder,28,31,237,1.778
Jonathan Henry Bond,Goalkeeper,24,1,85,1.93
Davie Selke,Striker,23,26,79,1.92
André Monteiro,Forward,29,25,232,1.75
Ched Evans,Forward,29,72,184,1.8288
Blerim Džemaili,Midfielder,31,40,382,1.79
Toni Leistner,Defender,27,7,170,1.9
Kerem Demirbay,Midfielder,24,18,96,1.85
Mitchell Dijks,Full back,25,1,100,1.94
Gustav Engvall,Forward,21,30,135,1.84
André Onana,Goalkeeper,21,0,45,1.9
Joel Robles Blázquez,Goalkeeper,27,0,117,1.95
Johan Dahlin,Goalkeeper,31,0,229,1.91
Darko Velkovski,Defender,22,15,144,1.88
Florian Lejeune,Defender,26,16,193,1.9
Jacob Kai Murphy,Forward,23,25,88,1.76
Antony Roland Kay,Defender,35,45,503,1.8034
Blair Vincent Adams,Left back,26,1,147,1.524
Omar Colley,Defender,25,13,161,1.9
Adelino André Vieira de Freitas,Defender,32,65,338,1.72
Leander Dendoncker,Midfielder,22,5,70,1.88
Andrea Conti,Striker,40,30,255,1.78
Joseph Edward Bryan,Wingback,24,12,129,1.7018
Isaiah Jay Brown,Winger,21,13,68,1.82
Cyle Larin,Striker,22,40,87,1.87
Jonathan Viera,Midfielder,28,59,207,1.7
Marvin Compper,Defender,32,14,306,1.85
Uroš Ćosić,Defender,25,3,87,1.88
Almamy Touré,Defender,21,5,65,1.82
William Rémy,Defender,26,11,172,1.84
Cenk Tosun,Forward,26,65,180,1.83
Alex Lacey,Defender,24,4,117,1.8796
Nadiem Amiri,Midfielder,21,11,76,1.8
Bradden Inman,Midfield,26,23,126,1.8542
João Rodrigo Pereira Escoval,Defender,20,0,2,1.87
Mathew Leckie,Forward,27,61,274,1.81
Jakob Valdemar,Midfielder,27,33,263,1.87
Jason Alan Davidson,Defender,26,6,156,1.81
Craig Tanner,Forward,23,5,67,1.71
Alistair Coote,Midfielder,19,4,26,1.524
Liam Boyce,Forward,26,101,232,1.84
John McGinn,Midfielder,23,7,142,1.778
Dean Peter Bowditch,Midfielder,31,75,386,1.8034
Ljubomir Fejsa,Defensive midfielder,29,7,222,1.85
Ahmed Hegazi,Centre back,27,7,108,1.96
Joseph Martin O'Brien,Defender,32,5,171,1.8
Andy Yiadom,Defender,26,24,239,1.8
Nathan Clarke,Defender,34,11,448,1.8796
Sandro Wagner,Forward,30,55,263,1.94
Ryan Colin Shotton,Defender,29,16,207,1.905
Karol Mets,Defender,24,15,320,1.91
Will Norris,Goalkeeper,24,0,153,1.95
José Izquierdo,Midfielder,25,48,184,1.71
Cengiz Ünder,Forward,20,18,71,1.73
Abdou Diallo,Defender,21,2,64,1.87
Karim Rekik,Defender,23,5,128,1.86
Erdal Rakip,Midfielder,22,6,94,1.8
Ante Erceg,Midfielder,28,23,129,1.79
Miguel Ángel Almirón Rejala,Midfielder,24,10,82,1.76
Euciodálcio Gomes,Forward,21,5,57,1.8
Tyias Browning,Defender,23,0,22,1.81
Romain Saïss,Midfielder,27,10,165,1.9
Adam Forshaw,Midfielder,26,14,158,1.74
Steve Mounié,Forward,23,12,41,1.9
Philipp Max,Defender,24,4,93,1.78
Birkir Bjarnason,Midfielder,29,51,289,1.82
Oluwaseyi Babajide  Ojo,Winger,20,7,59,1.77
Viktor Klonaridis,Midfielder,25,20,109,1.78
Konrad Laimer,Midfielder,20,1,59,1.79
Rick Karsdorp,Full nback,23,2,68,1.82
Bouna Sarr,Attacking Midfielder,27,9,120,1.77
Thomas Oluseun Adeyemi,Midfielder,26,13,190,1.85
Sam Clucas,Midfielder,27,31,195,1.8796
Gerard Gohou,Forward,29,121,226,1.84
Jordan Thomas Hugill,Forward,25,31,84,1.8288
Francesco Totti,Midfielder,41,262,638,1.8
Ali Gabr,Defender,29,2,166,1.95
Florinel Teodor Coman,Forward,19,0,11,1.78
Harry Winks,Midfielder,22,1,16,1.78
Eldin Jakupović,Goalkeeper,33,1,179,1.91
Denis Suárez Fernández,Midfielder,24,19,140,1.76
Diego Rolán,Forward,24,41,161,1.76
Jakub Jankto,Midfielder,22,10,53,1.84
Eros Pisano,Defender,30,20,286,1.85
Dominik Kaiser,Midfielder,29,46,258,1.7
Didier Ndong,Midfielder,23,4,111,1.79
Ryan Kent,Forward,21,5,37,1.72
Bruno Alves,Defender,36,34,455,1.89
Adam Masina,Defender,24,3,76,1.89
Andrei Radu,Defender,21,1,43,0
João António Antunes Carvalho,Midfielder,21,5,88,1.72
Ryan Fredericks,Defender,25,1,71,1.7272
Remi Luke Matthews,Goalkeeper,24,0,19,0
Iuri Medeiros,Midfielder,23,27,136,1.74
Justin Kluivert,Winger,18,5,32,0
Joshua Lewis Tymon,Defender,18,0,3,0
Nicolae Stanciu,Midfielder,24,39,207,1.7
Rolf Feltscher,Defender,27,2,193,1.81
Dalbert Henrique Chagas Estevão,Defender,24,1,73,1.82
James Vaughan,Forward,29,58,211,1.8
Andreas Samaris,Midfielder,28,16,221,1.89
Adama Soumaoro,Defender,25,3,94,0
Dimitri Joseph Oberlin Mfomo,Forward,20,21,55,1.82
Nathan Thomas,Midfielder,23,13,82,1.7526
Kenny McLean,Midfielder,26,28,224,1.83
Harlee James Dean,Centre back,26,15,266,1.905
Darren Randolph,Goalkeeper,30,0,296,1.8542
Jocimar Nascimento,Forward,39,40,111,1.85
Jorge Sammir Cruz Campos,Midfielder,30,54,270,1.78
Jairo Samperio Bustara,Midfielder,24,30,151,1.7
Thomas Mangani,Midfielder,30,8,221,1.83
Nabil Bahoui,Forward,27,44,148,1.88
Dani Ceballos,Midfielder,21,7,96,1.76
Kasey Remel Palmer,Midfielder,21,4,13,1.75
Connor Mahoney,Midfielder,21,0,8,1.75
Paulo Figueiredo,Midfielder,45,39,370,1.7
Mimoun Mahi,Winger,24,11,85,1.81
Omar Kharbin,Forward,24,27,50,1.84
Kieran James Ricardo Gibbs,Left-back,28,5,161,1.78
Andrew Philip King,Midfielder,29,57,356,1.8288
Jairo,Forward,25,16,94,1.83
Robert Gumny,Defender,19,1,28,1.77
Felipe dos Reis Pereira Vizeu do Carmo,Forward,21,5,15,1.84
Valère Germain,Striker,27,49,178,1.8
Anthony Stokes,Forward,29,108,291,1.85
Alphonso Davies,Forward,17,2,20,1.78
Peter Ian Vincenti,Midfielder,31,63,302,1.8288
Paweł Cibicki,Midfielder,24,17,67,1.82
Rivaldo Coetzee,Defender,21,0,41,1.79
Neal Maupay,Winger,21,37,115,1.71
Diego Reyes,Defender,25,5,128,1.89
Stevie May,Forward,25,87,189,1.778
Moussa Marega,Forward,26,39,129,1.86
Jan Lecjaks,Defender,27,10,216,1.85
Eros Grezda,Midfielder,22,18,78,1.8
Miquel Nelom,Full back,27,2,145,1.74
Leonardo da Silva Souza,Attacking Midfielder,25,27,92,1.74
Scott McKenna,Defender,21,0,19,0
Vítor Hugo Manique de Jesus,Forward,36,2,16,1.9
Luka Capan,Defender,22,2,35,0
Kei Ansu Kamara,Forward,33,110,331,1.905
Felix Junior Stanislas,Winger,28,20,183,1.8
Harry Lee Forrester,Midfielder,27,22,142,1.778
Matthew Lee James,Midfielder,26,6,142,1.524
Eric Dier,Defender,24,8,130,1.88
Connor Smith,Midfielder,25,5,75,1.8288
Benjamin Thomas Mee,Defender,28,6,200,1.8034
Borja López Menéndez,Defender,24,0,57,1.92
Manuel Obafemi Akanji,Defender,22,1,53,1.87
Oliver McBurnie,Forward,21,10,48,1.8796
Chey Dunkley,Defender,26,20,223,1.88
Calum Willock,Forward,36,92,386,1.8034
Ibrahima Tandia,Midfielder,24,12,78,1.78
Dominic Samuel,Forward,23,15,47,1.82
Renato Steffen,Midfielder,26,36,133,1.7
Lucas Sebastian Torreira Di Pascua,Midfielder,22,3,28,1.67
Moussa Sanoh,Midfielder,22,5,71,0
Yusuf Yazıcı,Midfielder,21,3,9,1.83
Cameron Jerome,Forward,31,92,418,1.8542
Steven Bergwijn,Winger,20,29,72,1.78
Ashley Barnes,Forward,28,62,258,1.8288
Jules Olivier Ntcham,Midfielder,22,7,47,1.8
Scott Malone,Defender,26,15,214,1.8796
Sullay Kaikai,Midfielder,22,18,62,1.82
Liam Lindsay,Defender,22,5,58,1.905
Stuart Alan Dallas,Winger,26,41,199,1.86
Joseph Lolley,Winger,25,104,169,1.778
Naser Aliji,Defender,24,4,118,1.77
Djibril Konaté,Defender,37,9,349,1.94
Saman Ghoddos,Midfielder,24,24,133,1.76
Dominic Solanke,Forward,20,22,52,1.85
Boadu Maxwell Acosty,Midfielder,26,10,113,1.78
Marko Vešović,Defender,26,16,192,1.77
Andrea Barzagli,Defender,36,17,598,1.87
Paul McMullan,Midfielder,22,8,62,0
Joel Joshghene Asoro,Midfielder,18,15,25,0
Kenny Tete,Full back,22,2,88,1.8
Mitchell-Elijah Weiser,Defender,23,12,122,1.76
Jake Matthew Cooper,Defender,23,4,45,1.8288
Alexander Thomas Cairns,Goalkeeper,25,0,40,1.8288
Brahim Abdelkader Díaz,Midfielder,18,3,8,0
Urruti,Goalkeeper,66,0,502,1.82
Yoric Ravet,Midfielder,28,36,175,1.524
John Stiven Mendoza Valencia,Forward,25,38,150,1.71
Patricio Julián Rodríguez,Forward,27,14,162,1.72
Aron Gunnarsson,Midfielder,28,30,360,1.778
Robert David Keane,Forward,37,313,715,1.75
Philip Anyanwu Billing,Midfielder,21,1,14,1.9558
Paulo Gazzaniga,Goalkeeper,26,0,42,1.96
Johan Wiland,Goalkeeper,37,0,404,1.88
Stefano Chuka Okaka,Forward,28,51,244,1.86
Kai Havertz,Midfielder,18,2,23,1.88
Lewis Renard Baker,Midfielder,22,25,84,1.83
Trent Sainsbury,Defender,26,8,154,1.83
Malang Sarr,Defender,19,2,30,1.82
Júlio César Clemente Baptista,Forward,36,107,408,1.85
Connor Ripley,Goalkeeper,25,0,72,1.905
Caleb Ansah Ekuban,Striker,23,33,60,1.88
Charlie Mulgrew,Defender,32,36,275,1.91
Aaron Mooy,Midfielder,27,35,170,1.8
Jota,Midfielder,21,23,55,1.78
Rachid Alioui,Striker,25,13,81,1.86
André Carrillo,Forward,26,17,166,1.8
Omar Mascarell,Midfielder,25,10,155,1.8
Carlos Henrique José Francisco Venâncio Casimiro,Midfielder,26,14,175,1.84
Fran Tudor,Defender,22,10,58,1.72
Sergio Busquets Burgos,Midfielder,29,10,389,1.89
Frenkie de Jong,Midfielder,20,3,34,0
Matías Vecino Falero,Midfielder,26,17,147,1.87
Sander Berge,Midfielder,20,0,35,1.9
Josip Elez,Defender,23,5,81,1.9
Michael Joseph Arantes Seaton,Forward,21,18,55,1.8288
Alexandru Mihăiță Chipciu,Midfielder,28,47,254,1.77
Mário Jardel,Forward,44,314,393,1.88
Kieran O'Neill Dowell,Midfielder,20,0,13,1.75
Joel Valentino Grant,Winger,30,55,324,1.8288
Daniel García Lara,Forward,43,80,356,1.83
Aden Flint,Defender,28,73,290,1.97
Ali Al-Habsi,Goalkeeper,36,0,369,1.94
Sammy Ameobi,Midfielder,25,5,114,1.94
Fábio Cardoso,Centre back,23,4,107,1.87
Terence Kongolo,Defender,24,4,112,1.88
David Josué Jiménez Silva,Attacking midfielder,32,77,433,1.7
Saidy Janko,Defender,22,3,31,1.78
Bradley Dack,Midfielder,24,28,133,1.75
Nauzet,Goalkeeper,33,1,295,1.9
Alexandre Luiz Reame,Defender,30,13,291,1.93
Ismaïla Sarr,Midfielder,20,0,9,1.75
David James McGoldrick,Forward,30,74,290,1.8542
Noah Litchfield Chesmain,Defender,20,0,13,0
Joseph Aidoo,Centre-back,22,1,39,1.8
Harry Bunn,Winger,25,16,104,1.7526
